#  atom  type     occ.     alat        blat        clat        rws              vuc                 ekin                 epot                 exc                 etot                 TS                 TSmix               E-TS           F=E-TS-TSmix           Etot_Lloyd
    Fe    14     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Si    15     0.120   22.141800   22.141800   22.141800    2.814591         93.39731277       -806.36220440        268.14400747        -39.67525451       -577.89345143          0.00000000          0.00000000       -577.89345143       -577.89345143     -94171.66373874
    Fe    16     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Fe    17     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Si    18     0.120   22.141800   22.141800   22.141800    2.814591         93.39731277       -806.36220440        268.14400747        -39.67525451       -577.89345143          0.00000000          0.00000000       -577.89345143       -577.89345143     -94171.66373874
    Fe    19     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Fe    20     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Si    21     0.120   22.141800   22.141800   22.141800    2.814591         93.39731277       -806.36220440        268.14400747        -39.67525451       -577.89345143          0.00000000          0.00000000       -577.89345143       -577.89345143     -94171.66373874
    Fe    22     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Fe    23     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Si    24     0.120   22.141800   22.141800   22.141800    2.814591         93.39731277       -806.36220440        268.14400747        -39.67525451       -577.89345143          0.00000000          0.00000000       -577.89345143       -577.89345143     -94171.66373874
    Fe    25     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Fe    26     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335900       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Si    27     0.120   22.141800   22.141800   22.141800    2.814591         93.39731217       -806.36220436        268.14400744        -39.67525451       -577.89345142          0.00000000          0.00000000       -577.89345142       -577.89345142     -94171.66373874
    Fe    28     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Fe    29     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Si    30     0.120   22.141800   22.141800   22.141800    2.814591         93.39731217       -806.36220436        268.14400744        -39.67525451       -577.89345142          0.00000000          0.00000000       -577.89345142       -577.89345142     -94171.66373874
    Fe    31     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Fe    32     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335900       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Si    33     0.120   22.141800   22.141800   22.141800    2.814591         93.39731217       -806.36220436        268.14400744        -39.67525451       -577.89345142          0.00000000          0.00000000       -577.89345142       -577.89345142     -94171.66373874
    Fe    34     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Fe    35     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Si    36     0.120   22.141800   22.141800   22.141800    2.814591         93.39731217       -806.36220436        268.14400744        -39.67525451       -577.89345142          0.00000000          0.00000000       -577.89345142       -577.89345142     -94171.66373874
    Fe    37     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335889       1086.42668393       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Fe    38     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335889       1086.42668393       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Si    39     0.120   22.141800   22.141800   22.141800    2.814591         93.39731217       -806.36220431        268.14400739        -39.67525450       -577.89345142          0.00000000          0.00000000       -577.89345142       -577.89345142     -94171.66373874
    Fe    40     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335889       1086.42668393       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Fe    41     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335889       1086.42668393       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Si    42     0.120   22.141800   22.141800   22.141800    2.814591         93.39731217       -806.36220431        268.14400739        -39.67525450       -577.89345142          0.00000000          0.00000000       -577.89345142       -577.89345142     -94171.66373874
    Fe    43     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335889       1086.42668393       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Fe    44     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335889       1086.42668393       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Si    45     0.120   22.141800   22.141800   22.141800    2.814591         93.39731217       -806.36220431        268.14400739        -39.67525450       -577.89345142          0.00000000          0.00000000       -577.89345142       -577.89345142     -94171.66373874
    Fe    46     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335889       1086.42668393       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Fe    47     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335889       1086.42668393       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Si    48     0.120   22.141800   22.141800   22.141800    2.814591         93.39731217       -806.36220431        268.14400739        -39.67525450       -577.89345142          0.00000000          0.00000000       -577.89345142       -577.89345142     -94171.66373874
    Fe    49     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Fe    50     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668406       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Si    51     0.120   22.141800   22.141800   22.141800    2.814591         93.39731277       -806.36220439        268.14400747        -39.67525451       -577.89345143          0.00000000          0.00000000       -577.89345143       -577.89345143     -94171.66373874
    Fe    52     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Fe    53     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Si    54     0.120   22.141800   22.141800   22.141800    2.814591         93.39731277       -806.36220440        268.14400747        -39.67525451       -577.89345143          0.00000000          0.00000000       -577.89345143       -577.89345143     -94171.66373874
    Fe    55     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Fe    56     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Si    57     0.120   22.141800   22.141800   22.141800    2.814591         93.39731277       -806.36220440        268.14400747        -39.67525451       -577.89345143          0.00000000          0.00000000       -577.89345143       -577.89345143     -94171.66373874
    Fe    58     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Fe    59     0.440   22.141800   22.141800   22.141800    2.814591         93.39731277      -3518.50335903       1086.42668407       -107.06182828      -2539.13850325          0.00000000          0.00000000      -2539.13850325      -2539.13850325     -94171.66373874
    Si    60     0.120   22.141800   22.141800   22.141800    2.814591         93.39731277       -806.36220440        268.14400747        -39.67525451       -577.89345143          0.00000000          0.00000000       -577.89345143       -577.89345143     -94171.66373874
    Fe    61     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Fe    62     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Si    63     0.120   22.141800   22.141800   22.141800    2.814591         93.39731217       -806.36220436        268.14400744        -39.67525451       -577.89345142          0.00000000          0.00000000       -577.89345142       -577.89345142     -94171.66373874
    Fe    64     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Fe    65     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Si    66     0.120   22.141800   22.141800   22.141800    2.814591         93.39731217       -806.36220436        268.14400744        -39.67525451       -577.89345142          0.00000000          0.00000000       -577.89345142       -577.89345142     -94171.66373874
    Fe    67     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Fe    68     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Si    69     0.120   22.141800   22.141800   22.141800    2.814591         93.39731217       -806.36220436        268.14400744        -39.67525451       -577.89345142          0.00000000          0.00000000       -577.89345142       -577.89345142     -94171.66373874
    Fe    70     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Fe    71     0.440   22.141800   22.141800   22.141800    2.814591         93.39731217      -3518.50335899       1086.42668403       -107.06182828      -2539.13850324          0.00000000          0.00000000      -2539.13850324      -2539.13850324     -94171.66373874
    Si    72     0.120   22.141800   22.141800   22.141800    2.814591         93.39731217       -806.36220436        268.14400744        -39.67525451       -577.89345142          0.00000000          0.00000000       -577.89345142       -577.89345142     -94171.66373874
    Fe    73     0.500   22.141800   22.141800   22.141800    2.607141         74.23043930      -3511.99710937       1079.77993653       -106.85424902      -2539.07142186          0.00000000          0.00000000      -2539.07142186      -2539.07142186     -94171.66373874
    Fe    74     0.500   22.141800   22.141800   22.141800    2.607141         74.23043930      -3511.99710937       1079.77993652       -106.85424902      -2539.07142186          0.00000000          0.00000000      -2539.07142186      -2539.07142186     -94171.66373874
    Fe    75     0.500   22.141800   22.141800   22.141800    2.607141         74.23043930      -3511.99710937       1079.77993652       -106.85424902      -2539.07142186          0.00000000          0.00000000      -2539.07142186      -2539.07142186     -94171.66373874
    Fe    76     0.500   22.141800   22.141800   22.141800    2.607141         74.23043930      -3511.99710937       1079.77993652       -106.85424902      -2539.07142186          0.00000000          0.00000000      -2539.07142186      -2539.07142186     -94171.66373874
    La    77     1.000   22.141800   22.141800   22.141800    3.381092        161.90476797     -23050.91402166       6541.72440772       -392.10166926     -16901.29128320          0.00000000          0.00000000     -16901.29128320     -16901.29128320     -94171.66373874
    La    78     1.000   22.141800   22.141800   22.141800    3.381092        161.90476797     -23050.91402166       6541.72440771       -392.10166926     -16901.29128320          0.00000000          0.00000000     -16901.29128320     -16901.29128320     -94171.66373874
    T:    78    28.000   22.141800   22.141800   22.141800    8.652934       2713.80588226    -129758.93635210      38960.59499614      -3373.32238278     -94171.66373874          0.00000000          0.00000000     -94171.66373874     -94171.66373874     -94171.66373874
