#   iter   convergence     efermi     ef_shift      lost      mag. mom          efree                etot              entropy
     25  0.12916030E-05   0.6859414  -0.0000000  -0.0000229  -0.0000000     -94171.98107114     -94171.98107114          0.00000000
     26  0.93042341E-06   0.6859414  -0.0000000  -0.0000227  -0.0000000     -94171.98107130     -94171.98107130          0.00000000
     27  0.10206343E-05   0.6859414  -0.0000000  -0.0000219  -0.0000000     -94171.98107184     -94171.98107184          0.00000000
     28  0.86645000E-06   0.6859414  -0.0000000  -0.0000211  -0.0000000     -94171.98107236     -94171.98107236          0.00000000
     29  0.10517145E-05   0.6859414  -0.0000000  -0.0000188  -0.0000000     -94171.98107392     -94171.98107392          0.00000000
     30  0.74613759E-06   0.6859414  -0.0000000  -0.0000170   0.0000000     -94171.98107517     -94171.98107517          0.00000000
     31  0.88362889E-06   0.6859414  -0.0000000  -0.0000152  -0.0000000     -94171.98107637     -94171.98107637          0.00000000
     32  0.62255877E-06   0.6859414  -0.0000000  -0.0000150  -0.0000000     -94171.98107654     -94171.98107654          0.00000000
     33  0.68803769E-06   0.6859414  -0.0000000  -0.0000145  -0.0000000     -94171.98107689     -94171.98107689          0.00000000
     34  0.58946979E-06   0.6859414  -0.0000000  -0.0000142  -0.0000000     -94171.98107713     -94171.98107713          0.00000000
     35  0.67949064E-06   0.6859414  -0.0000000  -0.0000130  -0.0000000     -94171.98107789     -94171.98107789          0.00000000
     36  0.51211440E-06   0.6859414  -0.0000000  -0.0000118   0.0000000     -94171.98107872     -94171.98107872          0.00000000
     37  0.60195501E-06   0.6859414  -0.0000000  -0.0000104  -0.0000000     -94171.98107968     -94171.98107968          0.00000000
     38  0.42072275E-06   0.6859414  -0.0000000  -0.0000101   0.0000000     -94171.98107989     -94171.98107989          0.00000000
     39  0.46468367E-06   0.6859414  -0.0000000  -0.0000097  -0.0000000     -94171.98108015     -94171.98108015          0.00000000
     40  0.39670798E-06   0.6859414  -0.0000000  -0.0000096  -0.0000000     -94171.98108026     -94171.98108026          0.00000000
     41  0.44327369E-06   0.6859414  -0.0000000  -0.0000090  -0.0000000     -94171.98108064     -94171.98108064          0.00000000
     42  0.34785401E-06   0.6859414  -0.0000000  -0.0000083   0.0000000     -94171.98108114     -94171.98108114          0.00000000
     43  0.41867671E-06   0.6859414  -0.0000000  -0.0000072  -0.0000000     -94171.98108189     -94171.98108189          0.00000000
     44  0.28784108E-06   0.6859414  -0.0000000  -0.0000069   0.0000000     -94171.98108213     -94171.98108213          0.00000000
     45  0.32369984E-06   0.6859414  -0.0000000  -0.0000065  -0.0000000     -94171.98108236     -94171.98108236          0.00000000
     46  0.26710000E-06   0.6859414  -0.0000000  -0.0000064  -0.0000000     -94171.98108242     -94171.98108242          0.00000000
     47  0.29279212E-06   0.6859414  -0.0000000  -0.0000062  -0.0000000     -94171.98108261     -94171.98108261          0.00000000
     48  0.23879661E-06   0.6859414  -0.0000000  -0.0000058   0.0000000     -94171.98108288     -94171.98108288          0.00000000
     49  0.28618187E-06   0.6859414  -0.0000000  -0.0000050  -0.0000000     -94171.98108339     -94171.98108339          0.00000000
     50  0.19942199E-06   0.6859414  -0.0000000  -0.0000047   0.0000000     -94171.98108364     -94171.98108364          0.00000000
     51  0.22570559E-06   0.6859414  -0.0000000  -0.0000044  -0.0000000     -94171.98108384     -94171.98108384          0.00000000
     52  0.17796938E-06   0.6859414  -0.0000000  -0.0000043   0.0000000     -94171.98108388     -94171.98108388          0.00000000
     53  0.19335160E-06   0.6859414  -0.0000000  -0.0000042  -0.0000000     -94171.98108398     -94171.98108398          0.00000000
     54  0.16340855E-06   0.6859414  -0.0000000  -0.0000040   0.0000000     -94171.98108411     -94171.98108411          0.00000000
     55  0.19426956E-06   0.6859414  -0.0000000  -0.0000035  -0.0000000     -94171.98108442     -94171.98108442          0.00000000
     56  0.13808933E-06   0.6859414  -0.0000000  -0.0000032   0.0000000     -94171.98108464     -94171.98108464          0.00000000
     57  0.15960424E-06   0.6859414  -0.0000000  -0.0000029  -0.0000000     -94171.98108482     -94171.98108482          0.00000000
     58  0.11884884E-06   0.6859414  -0.0000000  -0.0000029   0.0000000     -94171.98108485     -94171.98108485          0.00000000
     59  0.12983173E-06   0.6859414  -0.0000000  -0.0000028   0.0000000     -94171.98108492     -94171.98108492          0.00000000
     60  0.11173145E-06   0.6859414  -0.0000000  -0.0000027   0.0000000     -94171.98108497     -94171.98108497          0.00000000
     61  0.12969065E-06   0.6859414  -0.0000000  -0.0000025  -0.0000000     -94171.98108515     -94171.98108515          0.00000000
     62  0.95550313E-07   0.6859414  -0.0000000  -0.0000022   0.0000000     -94171.98108531     -94171.98108531          0.00000000
# ----------------- calculation finished ----------------------
